SEP=,
"","","Rolling Cumulative Returns","Annualized Returns","","",""
"Symbol","Last ($)","Custom(12/31/2024 to  07/22/2025)","3 Year","5 Year","10 Year","Custom"
"ABT","125.73","3.88","-11.97","-9.36","-2.11","7.49"
"ADI","235.50","3.57","-3.80","1.63","3.36","6.87"
"ADP","302.98","-3.78","-5.58","1.45","2.45","-7.08"
"ADSK","299.43","-5.97","-1.60","-9.55","7.58","-11.10"
"AFL","102.70","-7.99","6.15","8.87","1.19","-14.74"
"AIT","264.89","3.34","24.20","18.76","9.62","6.43"
"ALL","197.43","-4.87","2.54","2.11","-0.37","-9.09"
"ALNY","325.28","30.96","14.67","1.53","-2.23","65.53"
"AMAT","187.14","7.79","5.77","9.84","15.19","15.25"
"AMZN","227.47","-3.59","6.16","-6.03","13.45","-6.74"
"AN","201.91","11.61","3.14","18.81","0.82","23.02"
"APH","101.78","39.27","26.08","17.56","10.22","85.36"
"ATI","92.46","60.71","41.97","43.30","4.67","140.67"
"ATO","158.78","6.73","-4.89","-5.18","-0.20","13.12"
"ATR","159.17","-5.96","-1.39","-7.93","-1.84","-11.08"
"AXP","304.14","-4.80","8.95","11.79","2.88","-8.97"
"AXS","96.99","2.17","5.15","4.94","-5.76","4.16"
"AZO","3,773.71","10.58","3.89","12.41","7.19","20.90"
"BLK","1,100.39","0.07","3.42","-0.44","0.58","0.13"
"BPOP","115.22","15.22","-3.29","11.16","3.03","30.57"
"BRK.B","478.13","-1.79","1.91","6.00","1.23","-3.39"
"BSX","103.16","8.22","22.57","7.85","7.51","16.10"
"C","94.00","26.26","5.11","-1.29","-7.02","54.75"
"CAH","157.10","25.55","23.43","8.84","-5.44","53.15"
"CASY","523.42","24.82","21.32","12.03","6.45","51.50"
"CAT","417.19","7.73","15.90","10.94","6.44","15.12"
"CBRE","143.07","1.70","3.48","12.38","2.48","3.25"
"CCL","29.89","12.67","31.01","0.57","-17.01","25.22"
"CDNS","319.60","-0.91","7.20","11.25","20.72","-1.72"
"CIEN","84.36","-7.81","3.53","-5.06","1.32","-14.41"
"CINF","151.00","-2.20","-5.92","-0.52","-0.67","-4.14"
"CME","274.64","10.99","-6.45","-3.98","-0.81","21.74"
"CMI","357.25","-4.80","3.52","-0.58","-0.68","-8.96"
"CNP","37.76","11.73","-8.45","-0.46","-4.23","23.27"
"COF","217.42","14.65","9.13","13.68","-2.53","29.36"
"TPR","106.25","55.36","29.49","36.63","1.54","126.30"
"COST","941.61","-4.51","4.35","9.45","8.90","-8.43"
"CPT","115.69","-7.58","-21.99","-8.99","-7.66","-14.00"
"CRS","274.42","54.42","96.69","50.73","10.73","123.82"
"CSL","418.82","6.27","-0.45","13.75","3.43","12.21"
"CTAS","219.68","12.96","13.57","10.87","14.47","25.83"
"CW","474.48","26.43","34.62","25.01","9.64","55.12"
"DGX","178.24","10.87","-5.98","-7.45","-2.14","21.51"
"DIS","121.06","1.44","-11.15","-13.67","-11.41","2.76"
"DOV","189.54","-6.24","-2.99","-1.51","2.23","-11.59"
"DRI","209.26","4.81","3.14","8.00","0.54","9.32"
"DTE","139.55","8.29","-12.70","-6.55","-3.72","16.25"
"DXCM","85.12","2.17","-16.25","-18.40","3.28","4.17"
"EAT","161.30","14.65","68.52","30.86","-1.01","29.37"
"EBAY","81.76","24.70","3.76","-6.27","-0.42","51.23"
"EL","89.00","11.42","-46.84","-28.58","-11.59","22.64"
"EME","558.98","15.87","57.00","40.48","16.37","31.95"
"EMR","144.34","9.19","3.42","3.67","-0.75","18.08"
"EQT","54.34","10.57","-8.01","19.05","-8.28","20.89"
"ESS","292.06","-4.96","-14.61","-8.26","-8.88","-9.25"
"ETN","372.65","5.01","22.93","17.72","7.81","9.71"
"ETR","88.53","9.49","0.64","-2.59","-1.99","18.67"
"EWBC","108.96","6.51","-0.81","11.24","-2.39","12.67"
"EXAS","49.83","-18.60","-13.62","-26.83","-4.54","-32.89"
"EXEL","44.47","26.27","11.92","-1.67","10.01","54.76"
"FAST","47.08","23.66","8.00","1.48","5.01","48.91"
"FCNCA","2,134.48","-6.26","27.98","25.56","11.56","-11.63"
"FFIV","297.82","11.10","7.83","-0.03","-1.90","21.98"
"FHN","22.44","4.14","-16.06","5.28","-8.24","8.00"
"FITB","42.64","-6.43","-8.55","3.03","-4.51","-11.93"
"FIX","532.14","18.21","63.19","52.25","23.98","36.95"
"FLR","54.04","2.29","13.23","20.60","-10.68","4.40"
"GE","259.00","48.01","65.96","35.09","-4.63","107.16"
"GILD","110.17","11.99","5.13","-6.37","-12.19","23.82"
"GRMN","227.71","3.12","12.68","3.57","6.63","6.01"
"GS","700.41","15.04","12.53","13.72","1.07","30.19"
"GWW","1,035.12","-9.07","12.97","11.01","4.95","-16.67"
"WELL","161.09","20.54","8.04","11.21","-2.49","42.01"
"HEI","316.40","25.81","13.46","12.24","15.51","53.72"
"HIG","123.21","5.35","7.76","9.94","-1.30","10.37"
"EHC","108.39","10.09","12.65","1.65","-0.14","19.91"
"BK","98.90","21.45","15.51","8.37","-3.30","44.00"
"EXPE","189.44","-5.61","7.21","2.65","-6.03","-10.44"
"AMP","536.58","-6.50","13.07","13.70","3.96","-12.06"
"CF","91.72","0.22","-14.14","10.85","-7.65","0.43"
"GTLS","168.19","-19.15","-15.75","10.76","6.74","-33.78"
"EVR","296.96","-0.14","28.89","25.10","6.09","-0.27"
"EXLS","43.27","-9.78","-2.14","13.41","7.70","-17.91"
"BR","244.10","0.69","-0.73","-0.80","4.93","1.31"
"ACM","112.44","-2.02","1.79","10.68","1.99","-3.80"
"ENSG","136.36","-4.64","3.29","10.34","6.34","-8.68"
"AVGO","278.59","12.89","59.04","40.75","24.35","25.67"
"HEI.A","248.96","26.52","12.54","12.05","14.73","55.32"
"DG","109.83","37.58","-40.54","-24.87","-8.39","81.24"
"FTNT","104.81","3.66","2.84","17.29","17.06","7.05"
"CBOE","241.18","16.15","8.13","7.34","2.99","32.54"
"BWXT","140.04","18.44","19.96","6.90","7.28","37.45"
"CHTR","395.85","8.21","-23.37","-20.88","-4.79","16.09"
"HCA","350.97","9.65","3.43","9.44","2.62","19.02"
"GWRE","223.18","25.11","26.38","-1.14","2.97","52.15"
"ALSN","86.09","-27.61","13.39","3.78","-0.06","-47.01"
"META","704.81","13.10","44.10","10.05","10.38","26.11"
"CG","59.71","10.98","2.71","1.22","-3.54","21.74"
"MNST","59.59","6.10","-8.96","-4.51","-2.32","11.86"
"IBM","281.96","20.99","13.25","2.98","-5.75","42.99"
"IDXX","532.00","21.40","-6.21","-6.19","10.87","43.89"
"COHR","97.02","-4.86","6.49","2.47","7.13","-9.07"
"INSM","102.92","41.80","49.66","17.07","2.94","91.55"
"INTU","766.78","14.72","4.04","6.93","10.24","29.52"
"TT","447.68","13.93","30.82","19.33","12.25","27.85"
"ISRG","511.00","-9.38","17.33","3.60","12.11","-17.21"
"ITT","158.52","3.67","14.20","7.53","4.12","7.07"
"ITW","260.13","-4.69","-6.04","-6.68","-0.30","-8.75"
"JBL","220.84","46.19","42.33","31.35","15.84","102.54"
"JLL","260.04","-4.55","-4.58","6.73","-7.44","-8.51"
"JPM","291.43","14.30","19.65","10.17","3.76","28.63"
"KIM","22.07","-13.08","-15.83","0.34","-12.61","-23.66"
"KLAC","892.22","34.32","19.30","20.07","21.41","73.43"
"KR","72.61","11.46","-0.55","1.60","-5.14","22.72"
"LAMR","125.17","-4.46","-7.59","-0.85","-3.64","-8.34"
"LH","252.07","2.64","-10.78","-6.05","-2.31","5.08"
"LII","619.97","-5.53","22.86","5.18","6.54","-10.29"
"LNG","222.68","-3.64","1.64","21.11","1.18","-6.83"
"LRCX","97.69","27.97","11.39","7.96","17.46","58.64"
"MAR","272.98","-9.41","5.06","10.62","1.95","-17.27"
"MCHP","75.26","23.95","-11.62","-6.43","2.04","49.55"
"MCK","709.47","17.21","12.23","21.33","0.12","34.80"
"MCO","499.12","-1.84","2.32","-2.80","4.53","-3.47"
"SPGI","517.81","-3.31","-4.10","-6.25","5.59","-6.21"
"MLI","85.70","0.71","23.68","29.41","9.11","1.36"
"MO","59.44","6.40","-5.46","-6.47","-10.58","12.45"
"MPWR","719.98","14.40","1.38","9.63","19.73","28.85"
"MSFT","505.27","12.60","7.95","4.99","15.65","25.07"
"MSTR","426.40","39.95","130.52","89.82","25.40","87.01"
"MTZ","173.89","20.45","17.06","18.93","13.95","41.82"
"MU","109.22","22.50","4.46","2.15","8.20","46.32"
"MS","140.04","4.11","2.54","8.38","1.64","7.94"
"NDAQ","88.93","7.75","-1.16","0.74","6.27","15.17"
"NFLX","1,190.08","26.24","58.64","5.42","15.16","54.70"
"NI","42.09","7.22","-2.82","-2.70","-2.04","14.10"
"NRG","153.96","63.37","46.10","21.59","9.93","147.95"
"NTAP","104.95","-16.86","-1.92","4.45","1.36","-30.04"
"NVDA","167.03","17.10","96.08","60.11","67.79","34.57"
"NYT","53.45","-4.59","3.12","-10.43","3.37","-8.57"
"OHI","38.63","-5.22","-8.80","-9.92","-10.93","-9.73"
"ORCL","238.11","35.61","30.26","19.56","8.15","76.51"
"ORLY","95.35","13.34","10.83","11.97","7.96","26.61"
"OSK","126.04","25.30","-2.99","-4.27","0.75","52.57"
"BKNG","5,775.53","8.97","30.44","13.40","5.13","17.62"
"PEGA","50.92","1.99","9.92","-14.70","4.02","3.82"
"PGR","247.37","-4.04","13.76","8.37","11.68","-7.56"
"PH","721.12","6.10","22.33","17.29","8.97","11.87"
"PKG","205.29","-16.09","-3.60","0.50","-0.34","-28.75"
"PNFP","111.80","-9.54","-3.48","8.50","-4.13","-17.50"
"PPL","36.81","6.12","-6.35","-6.94","-9.82","11.91"
"PWR","394.93","17.68","26.93","43.36","18.85","35.81"
"PAG","171.03","4.92","-0.95","15.33","1.18","9.52"
"LYV","150.97","9.30","1.35","11.24","7.56","18.30"
"ICE","180.80","14.06","5.41","-0.52","2.95","28.12"
"MA","558.76","-1.16","0.78","-1.74","7.60","-2.20"
"IBKR","62.25","33.66","47.23","23.01","7.30","71.88"
"PODD","285.57","2.11","-10.91","-6.97","12.92","4.04"
"MASI","158.23","-11.55","-12.35","-22.03","2.51","-21.02"
"PM","165.27","30.05","3.10","2.80","-4.74","63.42"
"PRI","266.35","-9.14","12.68","3.24","8.00","-16.80"
"KKR","144.97","-9.26","24.57","18.44","8.10","-17.01"
"MSI","421.27","-16.14","7.18","10.43","10.10","-28.83"
"LPLA","374.36","7.38","8.06","23.20","11.52","14.41"
"KMI","26.97","-8.85","-1.60","-1.39","-14.23","-16.27"
"MPC","175.25","18.35","10.17","21.24","0.32","37.25"
"MTSI","136.76","-2.00","20.65","15.37","4.30","-3.78"
"PANW","196.73","0.84","15.39","22.35","8.34","1.60"
"NOW","962.37","-16.50","12.37","2.85","17.04","-29.43"
"WRB","68.54","9.85","1.17","5.25","3.63","19.40"
"RCL","348.54","43.81","98.63","32.61","3.61","96.55"
"REG","71.66","-10.35","-12.30","-2.39","-10.23","-18.91"
"RGLD","158.09","12.62","-1.17","-10.75","0.43","25.13"
"RJF","160.61","-3.88","2.04","13.16","3.22","-7.27"
"RL","288.31","17.54","27.03","18.21","-3.27","35.52"
"RMD","267.40","9.65","-11.90","-8.58","5.25","19.01"
"ROL","55.51","12.49","-1.75","-2.67","4.31","24.84"
"RRC","35.65","-8.19","-10.53","27.83","-13.04","-15.10"
"RS","340.20","19.07","6.69","14.65","7.91","38.81"
"RSG","242.31","13.17","5.96","9.11","8.11","26.26"
"T","27.42","13.14","-2.56","-10.22","-10.97","26.21"
"SCHW","95.39","21.61","-1.95","8.30","-1.09","44.36"
"SCI","78.14","-9.38","-13.99","1.02","-1.39","-17.21"
"SKX","63.22","-13.26","1.42","1.48","-7.39","-23.95"
"SNV","59.60","9.06","-1.77","9.91","-5.12","17.81"
"SNX","143.64","15.20","-2.46","4.38","2.89","30.52"
"SO","95.85","9.16","-6.74","-2.57","-3.27","18.01"
"SPG","165.57","-11.13","0.10","7.69","-12.52","-20.29"
"STX","146.59","62.56","7.25","10.26","0.01","145.73"
"SYK","395.15","2.47","8.82","1.18","3.34","4.74"
"AXON","720.74","13.99","75.04","37.89","24.90","27.99"
"THC","155.97","16.28","18.41","30.49","-1.25","32.82"
"TJX","125.60","-3.31","8.57","4.63","2.30","-6.22"
"SGI","74.81","24.69","26.75","17.84","4.09","51.19"
"TRMB","82.52","9.51","-7.45","-0.83","1.78","18.72"
"TTWO","231.07","18.25","4.22","-5.56","10.50","37.04"
"TXN","214.92","7.34","-7.33","-3.85","4.31","14.34"
"TXRH","184.26","-5.15","13.25","15.26","5.40","-9.61"
"JCI","108.30","29.93","11.94","9.92","0.97","63.15"
"TYL","564.98","-9.30","-1.35","-5.05","3.47","-17.07"
"UNM","80.48","2.92","19.11","21.11","-3.27","5.62"
"URI","791.04","5.02","25.56","23.19","14.58","9.72"
"RTX","149.17","21.63","-0.23","4.57","-2.00","44.40"
"VMC","267.78","-3.18","3.04","2.06","-0.51","-5.97"
"VRSN","287.92","31.84","-0.96","-7.06","4.34","67.59"
"VTR","67.11","6.68","-7.75","-0.95","-9.78","13.02"
"WAB","211.89","4.49","18.33","14.02","-3.00","8.67"
"WDC","67.06","41.55","6.63","1.08","-10.32","90.95"
"WEC","110.10","9.80","-12.78","-10.68","-2.90","19.31"
"WFC","82.38","10.01","7.25","11.68","-8.08","19.73"
"WWD","251.29","43.72","20.59","11.69","6.15","96.33"
"WMB","57.36","-1.29","4.27","10.14","-10.86","-2.44"
"WM","227.09","5.26","-3.19","1.97","5.31","10.20"
"WMT","95.85","-1.19","12.78","2.73","3.11","-2.25"
"WTFC","135.35","1.26","-0.36","11.35","-2.19","2.40"
"TDG","1,571.06","16.69","22.53","14.66","9.82","33.70"
"LDOS","161.28","4.68","-0.07","-1.97","6.97","9.05"
"SMCI","49.86","56.31","97.44","63.91","23.13","128.81"
"ULTA","502.74","8.31","-9.43","5.59","-0.14","16.30"
"V","351.86","4.06","1.30","-1.92","5.64","7.83"
"RGA","195.66","-15.69","2.65","3.44","-4.38","-28.08"
"VRSK","298.12","0.96","0.50","-3.55","3.33","1.83"
"SSNC","83.47","2.87","-6.83","-6.13","-1.70","5.52"
"UAL","90.78","-13.79","18.92","9.44","-6.80","-24.86"
"XPO","133.07","-5.81","43.69","22.39","12.10","-10.81"
"TRGP","162.53","-16.22","21.32","39.37","-4.91","-28.97"
"ABBV","187.11","-1.98","-8.77","-0.13","-1.31","-3.74"
"NCLH","23.60","-15.55","8.61","-4.02","-20.45","-27.85"
"BFAM","114.19","-4.26","-8.72","-13.85","-4.84","-7.98"
"NWS","33.67","3.37","8.46","7.25","-2.58","6.49"
"NWSA","29.43","-0.41","3.58","4.02","-4.30","-0.79"
"SFM","164.48","22.16","64.50","29.20","9.42","45.58"
"AR","33.18","-12.61","-20.12","51.27","-10.14","-22.85"
"VEEV","285.20","28.37","-6.70","-12.03","14.89","59.55"
"BRX","26.00","-13.89","-11.07","3.13","-10.81","-25.03"
"ARMK","43.83","10.20","7.05","7.13","-5.07","20.13"
"HLT","273.84","3.52","14.57","14.02","5.00","6.78"
"ARES","178.25","-6.59","23.09","20.31","13.19","-12.22"
"SYF","70.66","1.43","12.53","11.25","-4.48","2.74"
"HQY","97.41","-5.76","2.81","-2.43","-0.17","-10.71"
"LBRDA","89.78","13.46","-26.58","-21.35","-6.49","26.87"
"LBRDK","90.37","13.60","-26.63","-21.53","-6.33","27.17"
"GDDY","169.40","-21.45","15.00","5.47","8.61","-37.49"
"WING","320.81","5.61","28.56","4.55","14.66","10.88"
"PFGC","99.63","10.56","8.37","14.80","-","20.86"
"PLNT","113.55","7.57","-4.11","0.54","-","14.80"
"HLI","195.27","5.17","16.97","14.29","-","10.01"
"TWLO","131.00","13.93","-2.31","-26.96","-","27.85"
"USFD","84.12","17.42","20.65","17.14","-","35.25"
"MEDP","477.73","36.52","26.80","20.08","-","78.68"
"HWM","183.34","60.36","57.96","48.57","-","139.70"
"NTNX","74.37","14.28","53.55","13.14","-","28.59"
"PR","13.49","-13.47","14.52","57.23","-","-24.31"
"CVNA","341.56","60.68","121.08","4.01","-","140.59"
"AM","17.18","6.57","4.42","9.58","-","12.81"
"VST","189.09","29.87","85.05","43.48","-","63.01"
"ROKU","89.55","13.18","-16.52","-24.07","-","26.29"
"ZS","285.71","51.09","4.56","3.95","-","115.10"
"EQH","52.44","3.90","8.70","6.82","-","7.52"
"LIN","472.02","5.47","1.46","-0.02","3.60","10.61"
"FOXA","55.91","7.81","-0.06","2.62","-","15.29"
"FOX","51.37","5.03","-0.38","0.70","-","9.75"
"TW","135.22","-3.99","7.19","5.13","-","-7.48"
"UBER","91.79","44.90","41.15","8.95","-","99.27"
"CTVA","73.75","22.20","-5.84","6.80","-","45.66"
"CRWD","471.23","30.45","20.15","21.35","-","64.34"
"NET","190.55","69.68","37.74","24.02","-","165.59"
"APG","34.38","36.09","29.75","16.73","-","77.66"
"SNOW","212.25","30.18","-2.71","-","-","63.73"
"PLTR","149.07","89.83","130.66","-","-","225.28"
"U","34.23","45.06","-18.87","-","-","99.69"
"RKLB","46.88","76.78","109.43","-","-","186.04"
"DASH","239.82","35.69","31.57","-","-","76.69"
"SOFI","20.98","28.96","30.10","-","-","60.90"
"EXE","99.61","-7.22","-13.25","-","-","-13.35"
"CPNG","30.78","32.76","3.61","-","-","69.75"
"RBLX","120.20","100.47","28.25","-","-","258.86"
"COIN","404.44","55.61","61.96","-","-","126.95"
"APP","350.00","0.73","96.33","-","-","1.39"
"FYBR","36.95","-0.79","-3.81","-","-","-1.50"
"DTM","99.45","-7.26","8.03","-","-","-13.43"
"HOOD","101.85","166.07","107.07","-","-","496.40"
"BROS","62.78","12.58","2.72","-","-","25.03"
"CNM","65.03","20.46","25.47","-","-","41.83"
"TOST","47.63","23.40","31.26","-","-","48.31"
"KD","39.01","5.47","38.49","-","-","10.61"
"CRDO","92.93","30.99","85.25","-","-","65.61"
"CRBG","34.96","9.53","-","-","-","18.76"
"DRS","46.14","35.53","-","-","-","76.31"
"NXT","62.10","62.72","-","-","-","146.16"
"TLN","313.58","48.37","-","-","-","108.09"
"TKO","166.49","9.88","-","-","-","19.47"
"VLTO","102.54","-6.60","-","-","-","-12.24"
"RDDT","145.80","-18.07","-","-","-","-32.03"
"GEV","548.99","59.63","-","-","-","137.72"
"SPX","6,309.62","0.00","0.00","0.00","0.00","0.00"
"SPXEWI","7,536.88","-1.14","-7.01","-2.40","-2.86","-2.15"
"NASD","20,892.69","0.92","4.08","0.30","3.43","1.75"
".DJIA","44,502.44","-2.67","-5.04","-3.50","-1.99","-5.03"
"NDX","23,063.58","2.49","6.21","2.23","5.88","4.77"
"RUI","3,454.60","-0.03","-0.13","-0.32","-0.20","-0.05"
"RUT","2,248.76","-6.44","-9.22","-5.43","-5.58","-11.96"
"EAFE","2,648.93","9.84","-5.02","-6.83","-8.02","19.39"
"MSCIEMERG","1,253.46","9.27","-8.61","-10.94","-8.54","18.24"
"MSCIACWIXUS","380.74","9.56","-6.07","-7.76","-8.04","18.82"
"MSCIACWI","929.63","3.22","-2.18","-3.20","-3.50","6.19"
"AGG","98.57","-5.55","-18.35","-17.73","-12.54","-10.34"
"DJCORP","107.08","-6.36","-18.25","-18.75","-12.43","-11.81"
"SPGSCI","548.63","-7.46","-22.92","-4.20","-8.22","-13.79"
"DX/Y","97.39","-17.50","-19.79","-13.51","-11.41","-31.09"
"DWAFXI","97.16","1.82","-15.23","-14.81","-12.33","3.49"
"DWASTRATEGIC1","109,229.54","-4.11","-16.10","-15.96","-11.56","-7.70"
"DWASTRATEGIC4","163,360.40","-2.62","-12.49","-11.49","-8.51","-4.93"
"DWASTRATEGIC7","220,825.06","-0.97","-8.73","-7.08","-5.92","-1.83"
"DWASTRATEGIC2","132,789.58","-3.39","-14.19","-13.94","-10.11","-6.37"
"DWASTRATEGIC5","183,076.80","-2.13","-11.17","-9.91","-7.58","-4.01"
"DWASTRATEGIC8","232,001.94","-0.63","-8.16","-6.28","-5.50","-1.19"
"DWASTRATEGIC3","145,794.17","-3.13","-13.41","-13.16","-9.49","-5.88"
"DWASTRATEGIC6","198,303.83","-1.56","-9.89","-8.54","-6.84","-2.94"
"DWASTRATEGIC9","234,900.43","0.31","-7.50","-5.55","-5.22","0.59"
"TR.SPXX","13,952.35","0.78","1.78","1.73","2.00","1.49"
"XCMP","25,618.59","1.31","5.03","1.17","4.51","2.50"
".DINDR","112,477.78","-1.68","-2.81","-1.30","0.46","-3.17"
"EFA.TR","118.33","12.90","-1.55","-3.96","-5.25","25.70"
"EEM.TR","60.31","12.06","-6.22","-9.09","-6.58","23.96"
"ACWX.TR","79.45","12.19","-2.89","-5.13","-5.45","24.22"
"ACWI.TR","156.55","4.52","-0.14","-1.38","-1.41","8.73"
"AGG.TR","126.01","-3.56","-14.97","-15.03","-9.88","-6.67"
".DACBT","451.35","-3.76","-13.79","-14.82","-8.64","-7.06"
"DWASTRATEGIC1.TR","186,500.75","-3.24","-13.11","-13.23","-8.86","-6.09"
"DWASTRATEGIC4.TR","268,734.93","-2.87","-9.99","-9.02","-5.88","-5.40"
"DWASTRATEGIC7.TR","333,298.95","-0.90","-6.52","-4.91","-3.60","-1.70"
"DWASTRATEGIC2.TR","224,810.67","-3.39","-11.50","-11.36","-7.42","-6.37"
"DWASTRATEGIC5.TR","292,711.89","-2.53","-8.83","-7.57","-5.07","-4.76"
"DWASTRATEGIC8.TR","342,273.24","-0.65","-6.07","-4.21","-3.28","-1.24"
"DWASTRATEGIC3.TR","249,951.87","-4.27","-11.03","-10.68","-6.76","-7.98"
"DWASTRATEGIC6.TR","310,801.21","-2.43","-7.78","-6.36","-4.42","-4.59"
"DWASTRATEGIC9.TR","342,931.35","0.60","-5.35","-3.44","-2.99","1.14"